baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Rp1	1102.15026064686	-0.0277888489925766	0.0124044761938491	-2.24022752418648	0.0250761556443627	0.232009790207334
Mrpl15	306.59662432815	-0.00149879160953334	0.00635728861651626	-0.235759566686885	0.813619244889585	0.941276514766346
Lypla1	430.842479623133	0.000131401233238843	0.00600545394566087	0.0218803165302407	0.982543426150188	0.995570679116715
Tcea1	873.878548645243	-0.00351462821594041	0.00482922010404161	-0.727783811924205	0.466745935518877	0.771422263430063
Rgs20	3.3572328651997	0.0367811092788157	0.0766444770858854	0.479892494244562	0.631303838590801	NA
Atp6v1h	574.614617501009	0.0138190628226705	0.00459206687620511	3.00933396555639	0.00261821140869937	0.0714964396799811
Rb1cc1	2017.69451349197	-0.0199606652008549	0.00768278040469425	-2.59810435147395	0.00937400020289782	0.137834949370348
Pcmtd1	1030.64588025693	-0.000262348990265874	0.00512449453308748	-0.0511950961352299	0.95917005943967	0.990559463386967
Sntg1	11.0718269552644	0.301623440259612	0.119678027598447	2.52029086969617	NA	NA
Rrs1	233.995172130515	0.0158231187748778	0.0107444136763165	1.47268331726246	0.140836447028569	0.478490449246601
Adhfe1	9.01339336624387	-0.0313314234868374	0.0306504280238928	-1.02221813876184	0.306677667617521	0.648185367896617
2610203C22Rik	50.7358133913423	-0.0821134168801755	0.0167590068417543	-4.89965889121745	9.60031846335118e-07	0.000302794044334096
3110035E14Rik	6.69187672939131	-0.0966338470997464	0.0377643405410637	-2.55886494283331	0.0105014530882278	0.147984276801163
Mybl1	33.3278031361865	-0.00899055407687078	0.0214348967856826	-0.419435379921027	0.674897971863141	0.884039819984453
Vcpip1	1751.93966103792	-0.000497346206860959	0.0057010319420341	-0.0872379267328763	0.930482393085349	0.982792402614028
1700034P13Rik	26.8952595101768	-0.0259789354619458	0.020472888054758	-1.26894336512079	0.20446126418759	0.554966288509174
Sgk3	1767.09163609043	-0.0158068857076083	0.00846267551735686	-1.8678354942463	0.0617850043625817	0.341057844120006
