SampleID,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
YF_PeriMac08,YF,1,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/YF_PeriMac8_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
YF_PeriMac09,YF,2,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/YF_PeriMac9_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
YF_PeriMac16,YF,3,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/YF_PeriMac16_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
YF_PeriMac17,YF,4,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/YF_PeriMac17_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
OF_PeriMac03,OF,1,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/OF_PeriMac3_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
OF_PeriMac06,OF,2,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/OF_PeriMac6_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
OF_PeriMac11,OF,3,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/OF_PeriMac11_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
OF_PeriMac14,OF,4,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/OF_PeriMac14_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
YM_PeriMac02,YM,1,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/YM_PeriMac2_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
YM_PeriMac07,YM,2,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/BAM_clean/YM_PeriMac7_AC43_ATACseq.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/ATACseq/HINT-ATAC/POOLED_PeriMac_AC43_ATACseq_MACS2_peaks.QC_noMT.bed,bed
