SampleID,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
PeriMac_YF,YF,1,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK184_PeriMac_AC42_5m_F_1_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YF,YF,2,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK191_PeriMac_AC42_5m_F_8_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YF,YF,3,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK192_PeriMac_AC42_5m_F_9_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YF,YF,4,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK200_PeriMac_AC42_5m_F_17_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YM,YM,1,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK185_PeriMac_AC42_5m_M_2_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YM,YM,2,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK190_PeriMac_AC42_5m_M_7_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YM,YM,3,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK193_PeriMac_AC42_5m_M_10_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YM,YM,4,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK198_PeriMac_AC42_5m_M_15_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_YM,YM,5,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK201_PeriMac_AC42_5m_M_18_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
PeriMac_OF,OF,1,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/BAM_clean/MHK186_PeriMac_AC42_21m_F_3_H3K4me3_250K.mp.srt.rmdup.bam,,/Volumes/BB_Home_HQ/Immune_sex_dimorphism_Aging/Macrophages/Clean_Macrophage_Data/CUT_and_RUN/H3K4me3_Aging/MACS2/POOLED_95PURITY_PeriMac_AC42_H3K4me3_250K_MACS2_peaks.broadPeak.bed,bed
