# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	2626	Igtp	1	5.951805e-6	1.273389e-1	1.273389e-1	5.781645e+2	3.459223e-3	2	1.020420e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_103,MSPC_Peak_104	Igtp
Ensembl Genes	20280	Herc1	2	1.492142e-5	3.192438e-1	1.596219e-1	6.611584e+1	4.537490e-2	3	1.338493e-4	8.849558e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_241,MSPC_Peak_245,MSPC_Peak_250	Herc1
Ensembl Genes	8287	H2-T24	3	1.769336e-5	3.785494e-1	1.261831e-1	3.350499e+2	5.969260e-3	2	1.760844e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_272,MSPC_Peak_276	H2-T24
Ensembl Genes	7358	Parp9	4	3.219069e-5	6.887198e-1	1.721800e-1	2.482271e+2	8.057137e-3	2	2.376737e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_39,MSPC_Peak_40	Parp9
Ensembl Genes	2627	Irgm2	5	4.590380e-5	9.821118e-1	1.964224e-1	2.077612e+2	9.626438e-3	2	2.839657e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_101,MSPC_Peak_103	Irgm2
Ensembl Genes	12757	Gbp3	6	5.761573e-5	1.000000e+0	2.054481e-1	1.853749e+2	1.078895e-2	2	3.182580e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_265,MSPC_Peak_268	Gbp3
Ensembl Genes	7356	Parp14	7	2.041523e-4	1.000000e+0	6.239769e-1	9.816729e+1	2.037339e-2	2	6.009848e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_40,MSPC_Peak_41	Parp14
Ensembl Genes	15009	Trafd1	8	2.375231e-4	1.000000e+0	6.352258e-1	9.096182e+1	2.198725e-2	2	6.485913e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_327,MSPC_Peak_328	Trafd1
Ensembl Genes	15008	Hectd4	9	2.583742e-4	1.000000e+0	6.142129e-1	8.718681e+1	2.293925e-2	2	6.766740e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_327,MSPC_Peak_328	Hectd4
Ensembl Genes	20279	Dapk2	10	3.731801e-4	1.000000e+0	7.984188e-1	7.243445e+1	2.761117e-2	2	8.144889e-5	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_245,MSPC_Peak_250	Dapk2
Ensembl Genes	19355	Psmb10	11	7.679668e-4	1.000000e+0	1.000000e+0	1.301641e+3	7.682610e-4	1	2.266257e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_155	Psmb10
Ensembl Genes	5904	Psme2	11	7.679668e-4	1.000000e+0	1.000000e+0	1.301641e+3	7.682610e-4	1	2.266257e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_125	Psme2
Ensembl Genes	8180	Psmb9	13	7.711655e-4	1.000000e+0	1.000000e+0	1.296240e+3	7.714621e-4	1	2.275699e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_291	Psmb9
Ensembl Genes	8182	Psmb8	13	7.711655e-4	1.000000e+0	1.000000e+0	1.296240e+3	7.714621e-4	1	2.275699e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_287	Psmb8
