# Program:featureCounts v1.5.3; Command:"featureCounts" "-t" "exon" "-D" "1500" "-p" "--primary" "-T" "3" "-s" "1" "-a" "/Users/benayoun/Softwares/Genomes/mm10_genes.gtf" "-o" "2022-03-30_PeriMac_NIA_aging_CLEAN_counts.txt" "PeriMac_NIA_AC41_YF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	PeriMac_NIA_AC41_YF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam
Xkr4	chr1;chr1;chr1	3214482;3421702;3670552	3216968;3421901;3671498	-;-;-	3634	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4290846;4343507;4351910;4351910;4352202;4352202;4360200;4409170	4293012;4350091;4352081;4352081;4352837;4352837;4360314;4409241	-;-;-;-;-;-;-;-	9747	1131	947	1117	928	1372	1170	1417	1074	649	1434	1190	1393	1177	1046	1614	928	1171	553	1149	828
Sox17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4490928;4490928;4490928;4490928;4490928;4493100;4493100;4493772;4493772;4493772;4493772;4493772;4495136;4495136;4495136;4496291;4496291;4496291;4496291;4496291	4492668;4492668;4492668;4492668;4492668;4493466;4493490;4493863;4493863;4493863;4493863;4493863;4495198;4495942;4495942;4497354;4497354;4497354;4497354;4497354	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4095	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Mrpl15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4773200;4773200;4773200;4777525;4777525;4777525;4782568;4782568;4782568;4783951;4783951;4785573;4785573;4785573	4774516;4774516;4776801;4777648;4777648;4777648;4782733;4782733;4782733;4784105;4784105;4785726;4785726;4785726	-;-;-;-;-;-;-;-;-;-;-;-;-;-	4201	340	431	186	209	297	311	333	224	164	342	374	307	261	266	363	303	305	294	297	309
Lypla1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4807893;4808455;4828584;4830268;4832311;4837001;4839387;4840956;4844963	4807982;4808486;4828649;4830315;4832381;4837074;4839488;4841132;4846735	+;+;+;+;+;+;+;+;+	2433	466	514	312	300	383	459	455	304	248	479	472	494	361	351	514	507	446	506	382	327
Tcea1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4857694;4857694;4858328;4867470;4867470;4867470;4878027;4878027;4878027;4886744;4886744;4886744;4889457;4889457;4889460;4890740;4890740;4890740;4891915;4891915;4891915;4893417;4893417;4893417;4894934;4894934;4894934;4896356;4896356;4896356	4857976;4857976;4858503;4867532;4867532;4867532;4878132;4878132;4878132;4886831;4886831;4886831;4889602;4889602;4889602;4890796;4890796;4890796;4892069;4892069;4892069;4893563;4893563;4893563;4895005;4895005;4895005;4897909;4897909;4897909	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2847	1009	1292	744	665	935	916	1051	666	460	1049	1058	951	748	688	1108	845	910	951	815	755
Rgs20	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4909576;4909576;4909576;4912314;4912314;4912314;4916897;4916897;4916897;4923847;4923847;4923847;5018576;5019311;5020738;5070010	4910662;4910662;4910662;4912548;4912548;4912548;4916980;4916980;4916980;4923989;4923989;4923989;5018734;5019539;5021037;5070285	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2513	3	7	2	3	3	6	4	3	7	4	2	5	6	0	0	1	8	11	1	0
Atp6v1h	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5083173;5084417;5089009;5093363;5095615;5098029;5101070;5117390;5124277;5133084;5135812;5143750;5149948;5162105	5083278;5084563;5089111;5093452;5095728;5098133;5101123;5117487;5124469;5133262;5135937;5143851;5150061;5162549	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1976	670	625	417	483	529	571	649	443	296	635	602	563	446	453	634	701	604	690	560	538
Oprk1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5588493;5588493;5589005;5589035;5598590;5598590;5602252;5602252	5588663;5588663;5589305;5589305;5598942;5598942;5606133;5606133	+;+;+;+;+;+;+;+	4707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	chr1	5913707	5917398	-	3692	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
